title,company,address,salery,date,salary_min,salary_max,provence,city,area
运维工程师,武汉太和巽捷数字商务有限公司,武汉,0.8-1.2万/月,05-04,8000.0,12000.0,湖北省,武汉,
数据分析师,上海泰链信息科技股份有限公司,上海-浦东新区,2-2.5万/月,05-04,20000.0,25000.0,上海市,上海,浦东新区
Devops系统工程师,探谋网络科技（上海）有限公司,上海,1.5-2.5万/月,05-04,15000.0,25000.0,上海市,上海,
研发工程师（玩具及机器人）,深圳市卓旺科技有限公司,深圳-龙华新区,0.8-1.2万/月,05-04,8000.0,12000.0,广东省,深圳,龙华新区
项目实施工程师,浩玳信息技术（上海）有限公司,上海-普陀区,6-8千/月,05-04,6000.0,8000.0,上海市,上海,普陀区
安全服务工程师,上海弘卓网络科技有限公司,上海-松江区,0.8-1.3万/月,05-04,8000.0,13000.0,上海市,上海,松江区
自然语言处理工程师(NLP),北京影研创新科技发展有限公司,北京-朝阳区,2-3.5万/月,05-03,20000.0,35000.0,北京市,北京,朝阳区
高级研究人员2（山东特检科技有限公司）,山东特种设备检验检测集团有限公司...,济南-高新区,1-1.5万/月,05-03,10000.0,15000.0,山东省,济南,高新区
Java中级开发工程师,南京君睿信息科技有限公司,南京-浦口区,0.8-1.2万/月,05-03,8000.0,12000.0,江苏省,南京,浦口区
数据架构师,气味图书馆,上海-闵行区,1.5-2万/月,05-03,15000.0,20000.0,上海市,上海,闵行区
机器人老师,上海乐承教育科技有限公司,成都-成华区,6-8千/月,05-03,6000.0,8000.0,四川省,成都,成华区
四川体产互联网科技有限公司云平台运维工程师,四川体育产业集团有限公司,成都-高新区,6-9千/月,05-03,6000.0,9000.0,四川省,成都,高新区
软件工程师（监控后台）,江苏易立电气股份有限公司,南京-玄武区,0.6-1万/月,05-03,6000.0,10000.0,江苏省,南京,玄武区
WINTEL工程师,舒恩电子科技（上海）有限公司,上海-静安区,1-1.6万/月,05-03,10000.0,16000.0,上海市,上海,静安区
安全事件分析研发工程师,湖南珀通网络安全技术有限公司,长沙-芙蓉区,0.8-1.5万/月,05-03,8000.0,15000.0,湖南省,长沙,芙蓉区
网络安全技术工程师,江苏弘润科技实业有限公司,南京-玄武区,1.5-2万/月,05-03,15000.0,20000.0,江苏省,南京,玄武区
后端开发工程师（广告）,北京木瓜移动科技股份有限公司,北京-海淀区,2-2.5万/月,05-03,20000.0,25000.0,北京市,北京,海淀区
后台开发工程师,南京开特信息科技有限公司,南京,6-8千/月,05-03,6000.0,8000.0,江苏省,南京,
信息化运维与技术支持人员,湖北商贸学院,武汉-洪山区,4.5-6千/月,05-03,4500.0,6000.0,湖北省,武汉,洪山区
Linux运维工程师,成都逸趣玩科技有限公司,成都-高新区,6-8千/月,05-03,6000.0,8000.0,四川省,成都,高新区
Java开发工程师,北京睿至大数据有限公司,成都-高新区,0.7-1.1万/月,05-03,7000.0,11000.0,四川省,成都,高新区
软件测试主管,深圳市迈戈实业有限公司,深圳-福田区,1-1.5万/月,05-03,10000.0,15000.0,广东省,深圳,福田区
测试工程师,诺亚歌斐投资管理,上海-杨浦区,1.5-2万/月,05-03,15000.0,20000.0,上海市,上海,杨浦区
高级测试工程师,诺亚易捷金融科技有限公司,上海-杨浦区,1-2万/月,05-03,10000.0,20000.0,上海市,上海,杨浦区
软件测试工程师,湖南波尔坤雷信息科技有限公司,长沙,0.5-1.5万/月,05-03,5000.0,15000.0,湖南省,长沙,
大数据讲师,安徽百越天城信息技术有限公司,合肥-新站区,0.5-1万/月,05-02,5000.0,10000.0,安徽省,合肥,新站区
前端开发,无锡朗成网络科技有限公司,无锡-滨湖区,4-6千/月,05-02,4000.0,6000.0,江苏省,无锡,滨湖区
视频分析图像识别工程师,四川中唯交通科技有限公司,成都-温江区,0.8-1.8万/月,05-02,8000.0,18000.0,四川省,成都,温江区
Android framework软件开发工程师,杭州里光科技有限公司,杭州-余杭区,2-2.5万/月,05-02,20000.0,25000.0,浙江省,杭州,余杭区
气象工程师,北京鑫瑞天翔科技发展有限公司,无锡-无锡新区,2-2.5万/月,05-02,20000.0,25000.0,江苏省,无锡,无锡新区
功能测试工程师,福建紫讯信息科技有限公司,福州-鼓楼区,6-8千/月,05-02,6000.0,8000.0,福建省,福州,鼓楼区
服务平台工程师,四川爱扽实业有限公司,成都-高新区,1.5-2.5万/月,05-02,15000.0,25000.0,四川省,成都,高新区
高级测试工程师,杭州云端聘网络信息技术服务有限公...,杭州-西湖区,1-2万/月,05-02,10000.0,20000.0,浙江省,杭州,西湖区
少儿编程老师,广东金钟少年宫教育发展有限公司,广州-白云区,5-8千/月,05-02,5000.0,8000.0,广东省,广州,白云区
渗透工程师（五险一金+双休）,中安网盾（广州）信息科技有限公司...,广州-荔湾区,0.6-1.2万/月,05-02,6000.0,12000.0,广东省,广州,荔湾区
CEO助理,北颂品牌管理（上海）有限公司,上海-浦东新区,1.2-1.8万/月,05-02,12000.0,18000.0,上海市,上海,浦东新区
知识图谱工程师,山东产业技术研究院,济南,6-8千/月,05-02,6000.0,8000.0,山东省,济南,
软件开发工程师,烟台艾氪森数字科技有限公司,烟台,4.5-6千/月,05-02,4500.0,6000.0,山东省,烟台,
数据库工程师,安徽祺盛智能科技有限公司,合肥-高新区,0.7-1.5万/月,05-02,7000.0,15000.0,安徽省,合肥,高新区
大数据工程师,江苏沙钢集团有限公司,苏州,1.5-2万/月,05-02,15000.0,20000.0,江苏省,苏州,
图像算法工程师,上海弘视通信技术有限公司,杭州-江干区,1-1.5万/月,05-02,10000.0,15000.0,浙江省,杭州,江干区
技术分析工程师,深圳市道通科技股份有限公司,深圳-南山区,2-4万/月,05-02,20000.0,40000.0,广东省,深圳,南山区
软件工程专业教师,电子科技大学成都学院,德阳,4.5-15万/年,05-02,3750.0,12500.0,四川省,德阳,
软件工程师,河南舍然文化传播有限公司,郑州-新郑市,0.8-1万/月,05-02,8000.0,10000.0,河南省,郑州,新郑市
BK31ZL-数据分析岗,平安银行信用卡中心,深圳-南山区,1-1.5万/月,05-02,10000.0,15000.0,广东省,深圳,南山区
运维开发工程师,白杨时代（北京）科技有限公司,北京-海淀区,1.5-2万/月,05-02,15000.0,20000.0,北京市,北京,海淀区
后端工程师 - php,恒瑞医药-江苏科信医药销售有限公...,北京-东城区,2-2.5万/月,05-02,20000.0,25000.0,北京市,北京,东城区
PHP开发工程师,青岛中联优谷信息技术有限公司,青岛-市南区,0.8-1.2万/月,05-02,8000.0,12000.0,山东省,青岛,市南区
投资助理,时盛投资（上海）有限公司,上海-长宁区,0.8-1.2万/月,05-02,8000.0,12000.0,上海市,上海,长宁区
自然语言处理工程师NLP,广州忘平信息科技有限公司,广州-越秀区,1-1.5万/月,05-02,10000.0,15000.0,广东省,广州,越秀区
外贸运营/推广主管,深圳市冰冰纸业有限公司,深圳-龙岗区,1-1.5万/月,05-02,10000.0,15000.0,广东省,深圳,龙岗区
软件开发工程师,北京博雅睿视科技有限公司,北京-海淀区,1-2万/月,05-01,10000.0,20000.0,北京市,北京,海淀区
图像AI工程师,杭州天铂云科光电科技有限公司,杭州-余杭区,1.3-2.6万/月,05-01,13000.0,26000.0,浙江省,杭州,余杭区
Java开发工程师（大数据方向）,南京金盾公共安全技术研究院有限公...,南京-雨花台区,1.2-2万/月,05-01,12000.0,20000.0,江苏省,南京,雨花台区
应届生-Digital Design Engineer/数字设计工程师,光梓信息科技（上海）有限公司,上海-浦东新区,1.6-2万/月,05-01,16000.0,20000.0,上海市,上海,浦东新区
CAE二次开发工程师,上海波客实业有限公司,武汉,0.6-1万/月,05-01,6000.0,10000.0,湖北省,武汉,
雷达算法工程师(J10396),珠海格力电器股份有限公司,珠海,1.5-2万/月,05-01,15000.0,20000.0,广东省,珠海,
软件开发项目经理,上海橙科微电子科技有限公司,上海-徐汇区,50-60万/年,05-01,41666.0,50000.0,上海市,上海,徐汇区
机器视觉算法开发高级工程,北航歌尔（潍坊）智能机器人有限公...,潍坊,1-1.5万/月,05-01,10000.0,15000.0,山东省,潍坊,
TA技术美术,上海英澈网络科技有限公司,上海-徐汇区,2-3.5万/月,05-01,20000.0,35000.0,上海市,上海,徐汇区
知名互联网媒体大数据/云计算工程师,西安柏诚国际货运代理有限公司,西安,1.5-2万/月,05-01,15000.0,20000.0,陕西省,西安,
大数据开发工程师,江苏全链通信息科技有限公司,徐州,0.5-1.5万/月,05-01,5000.0,15000.0,江苏省,徐州,
系统运维工程师,厦门路桥信息股份有限公司,厦门,0.8-1.2万/月,05-01,8000.0,12000.0,福建省,厦门,
系统运维主管,数说新奇信息技术（上海）有限公司...,上海-黄浦区,0.8-1.2万/月,05-01,8000.0,12000.0,上海市,上海,黄浦区
图像识别工程师,东莞特比斯电子有限公司,东莞,1-1.5万/月,05-01,10000.0,15000.0,广东省,东莞,
系统研发工程师（太保代理公司）,太平洋保险代理有限公司,上海-徐汇区,1-3万/月,05-01,10000.0,30000.0,上海市,上海,徐汇区
初中级技术顾问（ETL方向）,冠融前沿（北京）软件技术有限公司...,广州,0.5-1.2万/月,05-01,5000.0,12000.0,广东省,广州,
测试工程师,北京博兴高科科技有限公司,北京-朝阳区,1-1.3万/月,05-01,10000.0,13000.0,北京市,北京,朝阳区
信息安全工程师,重庆汇添富国际货运代理有限公司,深圳-福田区,6-8千/月,05-01,6000.0,8000.0,广东省,深圳,福田区
AI开发工程师,北京伯众联合管理咨询有限公司,北京-海淀区,1.5-2.5万/月,05-01,15000.0,25000.0,北京市,北京,海淀区
助理研究员,广东赛立信数据资讯股份有限公司,广州-越秀区,4-6千/月,05-01,4000.0,6000.0,广东省,广州,越秀区
Java开发工程师,武汉易通科技有限公司,武汉,4.5-6.5千/月,05-01,4500.0,6500.0,湖北省,武汉,
风险策略分析师,广州仁东互联网小额贷款有限公司,广州-越秀区,1.5-3万/月,05-01,15000.0,30000.0,广东省,广州,越秀区
Oracle/MySQL数据库工程师,南京济拓信息系统有限公司,南京-雨花台区,0.8-1.5万/月,05-01,8000.0,15000.0,江苏省,南京,雨花台区
嵌入式工程师,烟台持久钟表集团有限公司,烟台,1-1.5万/月,05-01,10000.0,15000.0,山东省,烟台,
网络应用运维工程师,北京圣通和科技有限公司,北京,4-7千/月,05-01,4000.0,7000.0,北京市,北京,
高级运维开发工程师,广州秀才信息科技有限公司,广州-海珠区,1.5-2.5万/月,04-30,15000.0,25000.0,广东省,广州,海珠区
ETL工程师,北京汇智翔宇科技有限公司,北京,1.2-1.8万/月,04-30,12000.0,18000.0,北京市,北京,
Java高级开发工程师,海南普适智能科技有限公司,海口,1.2-2万/月,04-30,12000.0,20000.0,海南省,海口,
区块链工程师,南京真我信息科技有限公司,南京-秦淮区,1-1.5万/月,04-30,10000.0,15000.0,江苏省,南京,秦淮区
D1201 C++应用软件开发工程师,浙江启尔机电技术有限公司,杭州-临安区,0.6-1.2万/月,04-30,6000.0,12000.0,浙江省,杭州,临安区
开发工程师,深圳市三斗电子科技有限公司,广州-海珠区,8-9.5千/月,04-30,8000.0,9500.0,广东省,广州,海珠区
Web前端开发工程师,山东迈拉克数字科技有限公司,济南-历下区,0.6-1.2万/月,04-30,6000.0,12000.0,山东省,济南,历下区
网站维护工程师,新疆腾云网络信息技术有限公司,乌鲁木齐,0.6-1.2万/月,04-30,6000.0,12000.0,新疆维吾尔自治区,乌鲁木齐,
CTO-SAAS平台,深圳市新无忧企业管理顾问有限公司...,广州,7-10万/月,04-30,70000.0,100000.0,广东省,广州,
运维工程师,郑州软语科技有限公司,郑州,0.8-1万/月,04-30,8000.0,10000.0,河南省,郑州,
软件工程师,长沙紫宸科技开发有限公司,长沙-岳麓区,0.6-1.2万/月,04-30,6000.0,12000.0,湖南省,长沙,岳麓区
测试工程师,北京点点企服信息科技有限公司,天津-东丽区,0.8-1.2万/月,04-30,8000.0,12000.0,天津市,天津,东丽区
软件运维工程师,广东博思信息技术有限公司,珠海,5-8千/月,04-30,5000.0,8000.0,广东省,珠海,
大数据开发工程师,湖南国科亿存信息科技有限公司,长沙,0.8-1.4万/月,04-30,8000.0,14000.0,湖南省,长沙,
硬件测试工程师,德沃康科技集团有限公司,嘉兴,0.6-1万/月,04-30,6000.0,10000.0,浙江省,嘉兴,
高级风险分析师（数据建模）,亚联财小额贷款,深圳,1.5-5万/月,04-30,15000.0,50000.0,广东省,深圳,
音频信号处理算法工程师,中航华东光电（上海）有限公司,上海,15-25万/年,04-30,12500.0,20833.0,上海市,上海,
