title,company,address,salery,date,salary_min,salary_max,provence,city,area
IT及非现场审计岗(006523),中信银行信用卡中心,深圳-罗湖区,30-40万/年,06-19,25000.0,33333.0,广东省,深圳,罗湖区
Packet Core Developer 321505,Ericsson (China) Communications...,北京-朝阳区,2.5-3.5万/月,06-19,25000.0,35000.0,北京市,北京,朝阳区
云计算系统集成工程师 285122,Ericsson (China) Communications...,大连-高新园区,1-1.5万/月,06-19,10000.0,15000.0,辽宁省,大连,高新园区
Software Developer-IPWorks 332044,Ericsson (China) Communications...,上海-长宁区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,长宁区
5G Data Exposure & Analytics Verification Engineer,Ericsson (China) Communications...,上海-长宁区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,长宁区
5G Data Exposure & Analytics System Management,Ericsson (China) Communications...,上海-长宁区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,长宁区
云计算工程师 403067,Ericsson (China) Communications...,西安,1.2-1.5万/月,06-19,12000.0,15000.0,陕西省,西安,
Java 开发工程师 （车联网方向）377799,Ericsson (China) Communications...,广州-天河区,2-3万/月,06-19,20000.0,30000.0,广东省,广州,天河区
Java高级开发工程师,Ericsson (China) Communications...,广州-天河区,2-3万/月,06-19,20000.0,30000.0,广东省,广州,天河区
Senior DevOps Engineer-CDI,飞利浦（中国）投资有限公司 Phil...,上海-静安区,3-4万/月,06-19,30000.0,40000.0,上海市,上海,静安区
服务器高级工程师,无锡九方科技有限公司,无锡-滨湖区,1.5-2万/月,06-19,15000.0,20000.0,江苏省,无锡,滨湖区
研发岗实习生（后端）,润联软件系统（深圳）有限公司,深圳,4.5-6千/月,06-19,4500.0,6000.0,广东省,深圳,
资深运维工程师,浩鲸云计算科技股份有限公司,南京-江宁区,1.5-2.5万/月,06-19,15000.0,25000.0,江苏省,南京,江宁区
全栈开发工程师,数字广东网络建设有限公司,广州-越秀区,1.2-2万/月,06-19,12000.0,20000.0,广东省,广州,越秀区
"Asset Management Analyst, Transaction Management",北京世邦魏理仕物业管理服务有限公...,上海-静安区,1-1.3万/月,06-19,10000.0,13000.0,上海市,上海,静安区
高级软件工程师,广东大榕树信息科技有限公司,东莞-南城区,1.5-3万/月,06-19,15000.0,30000.0,广东省,东莞,南城区
后台研发工程师,优刻得科技股份有限公司,上海,1-2万/月,06-19,10000.0,20000.0,上海市,上海,
广告度量大数据开发-数据平台方向,字节跳动,北京,2-4万/月,06-19,20000.0,40000.0,北京市,北京,
DevOps开发工程师,成都极米科技股份有限公司,成都,1.5-2.5万/月,06-19,15000.0,25000.0,四川省,成都,
ICT智能网关终端开发工程师,上海共志通信信息技术发展有限公司...,上海-浦东新区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,浦东新区
销售助理-上海,葛兰素史克（上海）医药研发有限公...,上海,0.8-1万/月,06-19,8000.0,10000.0,上海市,上海,
销售助理-北京,葛兰素史克（上海）医药研发有限公...,北京,0.8-1万/月,06-19,8000.0,10000.0,北京市,北京,
开发工程师,重庆领鑫安科技有限公司,重庆-渝北区,0.4-1万/月,06-19,4000.0,10000.0,重庆市,重庆,渝北区
